(0) Index,(1) INDICATOR (n),"(2) INDICATOR QUALITY (3) (g, y, r)",(3) DATASETS AVAILABLE (Hyperlink),"(4) PBSB CATEGORY (5) ((1, 2, 3, 4, 5))",(5) WB CATEGORY (Theme),"(6) INDICATOR TYPE (2) (SbPb, Ops)",(7) INDICATOR COUNTRY (or region)(n=129 (incl 7 regions) (193),(8) INDICATOR SOURCE,(9) COMMENTS (n),(10) Notes,,,,,,,
162,Average quarterly turnover rates  tracked against changes in political leadership (AGi),, Meritocratic CS Management,5,Public sector governance,,n/a,WB, Human Resource Management, Results Chain: Public Service & Administrative Reform,,,,,,,
163,Average revenue per kWh input in targeted clusters (LCU),, Improved technical and financial performance of utilities/operators,4,Energy and mining,,n/a,WB, Institutional Development of Utilities/Operators, Results Chain: Energy Sector,,,,,,,
164,Average ship waiting time (hours),, Increased port capacity and efficiency,4,Transportation,,n/a,WB, Efficiency, Results Chain: Ports,,,,,,,
165,"Average time from ship readiness to unload to final destination for an imported container, on the
corridor(s) targeted by the project (days)
(i) Freight volume measured in TEU in targeted corridor",, Roads and highways,5,Roads and highways,,n/a,WB, Core Sector Indicators,,,,,,,,
166,Average training expenditures per wage bill,, Training & Career Development,5,Public sector governance,,n/a,WB, Human Resource Management, Results Chain: Public Service & Administrative Reform,,,,,,,
167,Average travel speed in targeted corridors (km/ h),, More efficient urban traffic flow,4,Transportation,,n/a,WB, Urban Transport and Traffic System Development, Results Chain: Urban Transport and Mobility,,,,,,,
168,Average travel speed on BRT corridor (km/hr) ,, Improved public transport services,4,Transportation,,n/a,WB, Access/Mobility, Public Transport Development, Results Chain: Urban Transport and Mobility,,,,,,
169,Average travel time in targeted corridors (minutes),, More efficient urban traffic flow,4,Transportation,,n/a,WB, Urban Transport and Traffic System Development, Results Chain: Urban Transport and Mobility,,,,,,,
170,Average travel time per km/ specific route traveled (minutes),, Improved public transport services,4,Transportation,,n/a,WB, Access/Mobility, Public Transport Development, Results Chain: Urban Transport and Mobility,,,,,,
171,Average waiting time at health facilities (hours).,, Improved Quality and Efficiency,5,Health and other social services,,n/a,WB, Accountability and Institutional Capacity, Results Chain: HNP,,,,,,,
172,Awareness campaign about mental health rolled out (yes/ no) ,, Medical treatment for ill or disabled people associated with armed forces,2,Security,,n/a,WB, Results Chain: DDR - Demobilization and Reintegration,,,,,,,,
173,Bed occupancy rate (%).,, Improved Quality and Efficiency,5,Health and other social services,,n/a,WB, Accountability and Institutional Capacity, Results Chain: HNP,,,,,,,
174,Benchmarking reports prepared (yes/no),, Develop capacity to plan and manage sector,4,Energy and mining,,n/a,WB, Institutional Development of sector ministries, Results Chain: Energy Sector,,,,,,,
175,"Beneficiaries of insurance scheme (number, %) ",, Increased access of ex-combatants to social services and safety nets,2,Security,,n/a,WB, Mainstreaming into national Safety Nets, Results Chain: DDR - Demobilization and Reintegration,,Core Sector Indicator Africa,,,,,
176,Beneficiaries of Labor Market programs (number),, Social protection,1,Social protection,,n/a,WB, Core Sector Indicators,,,,,,,,
177,Beneficiaries of safety net programs (number),, Increased access to insurance/safety nets,5,Social protection and risk management,,n/a,WB, Results Chain: Disaster Risk and Climate Change Management,,,,,,,,
178,Beneficiaries of Safety Nets programs (number),, Social protection,1,Social protection,,n/a,WB, Core Sector Indicators,,,,,,,,
179,"Beneficiaries of social pensions (number, %)",, Increased access of ex-combatants to social services and safety nets,2,Security,,n/a,WB, Mainstreaming into national Safety Nets, Results Chain: DDR - Demobilization and Reintegration,,Core Sector Indicator Africa,,,,,
180,"Beneficiaries of targeted cash transfers (number, %) ",, Increased access of ex-combatants to social services and safety nets,2,Security,,n/a,WB, Mainstreaming into national Safety Nets, Results Chain: DDR - Demobilization and Reintegration,,Core Sector Indicator Africa,,,,,
181,Beneficiaries that feel project investments reflected their needs (percentage),, Participation and civic engagement,1,Participation and civic engagement,,n/a,WB, Core Sector Indicators,,,,,,,,
182,"Beneficiaries who experience a feeling of greater security attributable to the project in the project areas
(percentage)",, Conflict prevention and post-conflict reconstruction,1,Conflict prevention and post-conflict reconstruction,,n/a,WB, Core Sector Indicators,,,,,,,,
183,Berths rehabilitated/ constructed (number),, Build/ rehabilitate/ maintain port infrastructure,4,Transportation,,n/a,WB, Physical Infrastructure, Results Chain: Ports,,,,,,,
184,Bike paths constructed (kms),, Construct/ rehabilitate traffic and transport system and infrastructure,4,Transportation,,n/a,WB, Urban Transport and Traffic System Development, Results Chain: Urban Transport and Mobility,,,,,,,
185,Bill collection ratio (%),, Improved operational and financial performance of WSS Utilities/Service Providers,5,"Water, sanitation and flood protection",,n/a,WB, Financial, Institutional development of utilities/service providers, Results Chain: Water Supply,,,,,,
186,Births (deliveries) attended by skilled health personnel (%). [MDG],, Improved coverage of high impact interventions and utilization  of essential services,5,Health and other social services,,n/a,WB, Maternal Health, Results Chain: HNP,,,,,,,
187,Births (deliveries) attended by skilled health personnel (number),, Health,5,Health,,n/a,WB, Core Sector Indicators,,,,,,,,
188,Births delivered in a health facility (%). [UNICEF],, Improved coverage of high impact interventions and utilization  of essential services,5,Health and other social services,,n/a,WB, Maternal Health, Results Chain: HNP,,,,,,,
189,Boarding facilities built and/or rehabilitated (number),, Building/Rehabilitating Facilities,5,Education,,n/a,WB, Improved Access (Enrollment), Results Chain: Secondary Education Sector,,,,,,,
190,Boarding facilities built and/or rehabilitated (number),, Building/Rehabilitating Facilities,5,Education,,n/a,WB, Improved Quality, Results Chain: Secondary Education Sector,,,,,,,
191,Branches equipped (yes/no),, Develop management capacity of financial institutions,4,Financial and private sector development,,n/a,WB, Institutional Strenghthening, Results Chain: Financial Services,,,,,,,
192,Breathalyzer and other equipment procured (number),, Develop traffic management and control  capacity,4,Transportation,,n/a,WB, Urban Transport and Traffic System Development, Results Chain: Urban Transport and Mobility,,,,,,,
193,Budget & accounting information system in place ,, Develop system for budget classification,5,Public sector governance,,n/a,WB, Budget Transparency, Results Chain: Public Financial Management,,,,,,,
194,Budget & accounting procedures developed,, Develop system for budget classification,5,Public sector governance,,n/a,WB, Budget Transparency, Results Chain: Public Financial Management,,,,,,,
195,Budget Execution Reports are published on the Web on a regular basis,, Improved Budget Transparency,5,Public sector governance,,n/a,WB, Budget Transparency, Results Chain: Public Financial Management,,,,,,,
196,"Budget preparation, adoption and audit procedures and methods in line with parliament oversight role and controls developed",,,5,Public sector governance,,n/a,"WB; Develop budget preparation, adoption and audit procedures and methods in line with Parliament oversight role and controls;  Improved Accountability; Results Chain: Public Financial Management",,,,,,,,,
197,"Budget, planning and management information systems in place",, Strengthen capacity and mechanisms to manage insurance/safety net program,5,Social protection and risk management,,n/a,WB, Results Chain: Disaster Risk and Climate Change Management,,,,,,,,
198,Budget/financing plan prepared (yes/ no),,,4,Transportation,,n/a,"WB; Develop sector policy making, regulatory and planning capacity; Urban Transport Management; Results Chain: Urban Transport and Mobility",,,,,,,,,
199,Building codes developed,, Implement disaster prevention projects,5,Social protection and risk management,,n/a,WB, Results Chain: Disaster Risk and Climate Change Management,,,,,,,,
200,Bulletins and other communication material prepared and distributed (number) ,, Establish early warning system,5,Social protection and risk management,,n/a,WB, Results Chain: Disaster Risk and Climate Change Management,,,,,,,,
201,Bus Rapid Transit (BRT) corridor developed (kms),, Construct infrastructure/facilities for public mass transportation,4,Transportation,,n/a,WB, Public Transport Development, Results Chain: Urban Transport and Mobility,,,,,,,
202,Bus routes franchised (number),, Improved management of public  transportation,4,Transportation,,n/a,WB, Operational, Public Transport Development, Results Chain: Urban Transport and Mobility,,,,,,
203,Bus stops constructed (number),, Construct infrastructure/facilities for public mass transportation,4,Transportation,,n/a,WB, Public Transport Development, Results Chain: Urban Transport and Mobility,,,,,,,
204,Buses procured (number),, Construct infrastructure/facilities for public mass transportation,4,Transportation,,n/a,WB, Public Transport Development, Results Chain: Urban Transport and Mobility,,,,,,,
205,Business electricity  connections provided under the project (number),, Establish physical electricity connections,4,Energy and mining,,n/a,WB,  Physical Infrastructure, Results Chain: Energy Sector,,,,,,,
206,Business electricity  connections provided under the project (number)  ,, Establish physical electricity connections ,4,Energy and mining,,n/a,WB,  Physical Infrastructure, Results Chain: Energy Sector,,Core Sector Indicator AFR,,,,,
207,Business Procedures/Methods to limit and manage extra-budgetary spending developed,, Develop Business Procedures/Methods to limit and manage extra-budgetary spending,5,Public sector governance,,n/a,WB, Budget Credibility, Results Chain: Public Financial Management,,,,,,,
208,Business Procedures/Methods to manage multiyear budget developed.,, Develop Business Procedures/Methods to manage multi-year budget,5,Public sector governance,,n/a,WB, Budget Credibility, Results Chain: Public Financial Management,,,,,,,
209,Campaigns conducted to reach target groups (number),, Implement Communication Strategy,2,Security,,n/a,WB, Results Chain: DDR - Demobilization and Reintegration,,,,,,,,
210,Capacity building strategy developed (yes/no),, Develop management capacity of WSS Utilities/Service Providers,5,"Water, sanitation and flood protection",,n/a,WB, Institutional development of utilities/service providers, Results Chain: Water Supply,,,,,,,
